Each numbered origami of degree  6  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 568  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [0 1 0 0 1 1] ), abelian= False
O_ 569  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [1 1 0 0 1 1] ), abelian= False
O_ 570  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [1 0 1 0 1 1] ), abelian= False
O_ 571  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [0 1 1 0 1 1] ), abelian= False
O_ 572  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [1 1 1 0 1 1] ), abelian= False
O_ 573  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [1 0 0 1 1 1] ), abelian= False
O_ 574  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [1 1 0 1 1 1] ), abelian= False
O_ 575  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 3, 5, 4]] [1 1 1 1 1 1] ), abelian= True
O_ 576  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 0 0 0] ), abelian= True
O_ 577  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 0 0 0] ), abelian= False
O_ 578  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 0 0 0] ), abelian= False
O_ 579  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 0 0 0] ), abelian= False
O_ 580  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 0 0 0] ), abelian= False
O_ 581  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 0 0 0] ), abelian= False
O_ 582  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 0 0 0] ), abelian= False
O_ 583  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 0 0 0] ), abelian= False
O_ 584  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 1 0 0] ), abelian= False
O_ 585  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 1 0 0] ), abelian= False
O_ 586  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 1 0 0] ), abelian= False
O_ 587  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 1 0 0] ), abelian= False
O_ 588  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 1 0 0] ), abelian= False
O_ 589  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 1 0 0] ), abelian= False
O_ 590  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 1 0 0] ), abelian= False
O_ 591  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 1 0 0] ), abelian= False
O_ 592  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 0 1 0] ), abelian= False
O_ 593  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 0 1 0] ), abelian= False
O_ 594  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 0 1 0] ), abelian= False
O_ 595  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 0 1 0] ), abelian= False
O_ 596  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 0 1 0] ), abelian= False
O_ 597  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 0 1 0] ), abelian= False
O_ 598  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 0 1 0] ), abelian= False
O_ 599  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 0 1 0] ), abelian= False
O_ 600  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 1 1 0] ), abelian= False
O_ 601  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 1 1 0] ), abelian= False
O_ 602  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 1 1 0] ), abelian= False
O_ 603  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 1 1 0] ), abelian= False
O_ 604  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 1 1 0] ), abelian= False
O_ 605  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 1 1 0] ), abelian= False
O_ 606  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 1 1 0] ), abelian= False
O_ 607  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 1 1 0] ), abelian= False
O_ 608  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 0 0 1] ), abelian= False
O_ 609  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 0 0 1] ), abelian= False
O_ 610  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 0 0 1] ), abelian= False
O_ 611  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 0 0 1] ), abelian= False
O_ 612  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 0 0 1] ), abelian= False
O_ 613  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 0 0 1] ), abelian= False
O_ 614  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 0 0 1] ), abelian= False
O_ 615  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 0 0 1] ), abelian= False
O_ 616  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 1 0 1] ), abelian= False
O_ 617  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 1 0 1] ), abelian= False
O_ 618  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 1 0 1] ), abelian= False
O_ 619  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 1 0 1] ), abelian= False
O_ 620  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 1 0 1] ), abelian= False
O_ 621  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 1 0 1] ), abelian= False
O_ 622  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 1 0 1] ), abelian= False
O_ 623  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 1 0 1] ), abelian= False
O_ 624  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 0 1 1] ), abelian= False
O_ 625  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 0 1 1] ), abelian= False
O_ 626  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 0 1 1] ), abelian= False
O_ 627  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 0 1 1] ), abelian= False
O_ 628  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 0 1 1] ), abelian= False
O_ 629  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 0 1 1] ), abelian= False
O_ 630  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 0 1 1] ), abelian= False
O_ 631  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 0 1 1] ), abelian= False
O_ 632  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 0 1 1 1] ), abelian= False
O_ 633  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 0 1 1 1] ), abelian= False
O_ 634  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 0 1 1 1] ), abelian= False
O_ 635  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 0 1 1 1] ), abelian= False
O_ 636  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 0 1 1 1 1] ), abelian= False
O_ 637  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 0 1 1 1 1] ), abelian= False
O_ 638  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [0 1 1 1 1 1] ), abelian= False
O_ 639  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4, 5, 3]] [1 1 1 1 1 1] ), abelian= True
O_ 640  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 641  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 0 0 0 0] ), abelian= False
O_ 642  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 643  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 0 0 0 0] ), abelian= False
O_ 644  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 1 0 0 0] ), abelian= False
O_ 645  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 1 0 0 0] ), abelian= False
O_ 646  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 647  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 0 1 0 0] ), abelian= False
O_ 648  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 649  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 0 1 0 0] ), abelian= False
O_ 650  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 1 1 0 0] ), abelian= False
O_ 651  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 1 1 0 0] ), abelian= False
O_ 652  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 653  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 0 0 1 0] ), abelian= False
O_ 654  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 655  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 0 0 1 0] ), abelian= False
O_ 656  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 1 0 1 0] ), abelian= False
O_ 657  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 1 0 1 0] ), abelian= True
O_ 658  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 659  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 0 1 1 0] ), abelian= False
O_ 660  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 661  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 0 1 1 0] ), abelian= False
O_ 662  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 0 1 1 1 0] ), abelian= False
O_ 663  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 4], [3, 5]] [1 1 1 1 1 0] ), abelian= False
O_ 664  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 0 0 0 0] ), abelian= True
O_ 665  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 0 0 0 0] ), abelian= False
O_ 666  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 1 0 0 0 0] ), abelian= False
O_ 667  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 1 0 0 0 0] ), abelian= False
O_ 668  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 1 0 0 0] ), abelian= False
O_ 669  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 1 1 0 0 0] ), abelian= False
O_ 670  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 0 1 0 0] ), abelian= False
O_ 671  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 0 1 0 0] ), abelian= False
O_ 672  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 1 0 1 0 0] ), abelian= False
O_ 673  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 1 0 1 0 0] ), abelian= False
O_ 674  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 1 1 0 0] ), abelian= False
O_ 675  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 1 1 0 0] ), abelian= False
O_ 676  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 1 1 1 0 0] ), abelian= False
O_ 677  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 0 0 1 0] ), abelian= False
O_ 678  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 0 0 1 0] ), abelian= False
O_ 679  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 1 0 0 1 0] ), abelian= False
O_ 680  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 1 0 1 0] ), abelian= False
O_ 681  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 0 1 1 0] ), abelian= False
O_ 682  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [1 0 0 1 1 0] ), abelian= False
O_ 683  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 1 0 1 1 0] ), abelian= False
O_ 684  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 1 1 1 0] ), abelian= False
O_ 685  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 0 1 0 1] ), abelian= False
O_ 686  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 1 0 1 0 1] ), abelian= False
O_ 687  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 2, 5, 4, 3]] [0 0 0 1 1 1] ), abelian= False
O_ 688  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 0 0] ), abelian= True
O_ 689  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 0 0 0 0] ), abelian= False
O_ 690  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 0 0] ), abelian= False
O_ 691  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 1 0 0 0 0] ), abelian= False
O_ 692  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 0 0] ), abelian= False
O_ 693  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 1 0 0 0] ), abelian= False
O_ 694  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 0 0] ), abelian= False
O_ 695  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 1 1 0 0 0] ), abelian= False
O_ 696  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 0 0] ), abelian= False
O_ 697  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 0 1 0 0] ), abelian= False
O_ 698  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 0 0] ), abelian= False
O_ 699  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 1 0 1 0 0] ), abelian= False
O_ 700  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 0 0] ), abelian= False
O_ 701  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 1 1 0 0] ), abelian= False
O_ 702  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 1 0 0] ), abelian= False
O_ 703  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 1 0] ), abelian= False
O_ 704  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 0 0 1 0] ), abelian= False
O_ 705  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 1 0] ), abelian= False
O_ 706  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 1 0] ), abelian= False
O_ 707  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 1 0 1 0] ), abelian= False
O_ 708  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 1 0] ), abelian= False
O_ 709  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 1 0] ), abelian= False
O_ 710  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [1 0 0 1 1 0] ), abelian= False
O_ 711  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 1 0] ), abelian= False
O_ 712  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 1 0] ), abelian= False
O_ 713  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 1 1 0] ), abelian= False
O_ 714  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 0 1] ), abelian= False
O_ 715  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 0 0 1] ), abelian= False
O_ 716  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 0 1] ), abelian= False
O_ 717  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 1 0 0 1] ), abelian= False
O_ 718  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 0 1] ), abelian= False
O_ 719  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 1 0 1 0 1] ), abelian= False
O_ 720  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 1 0 1] ), abelian= False
O_ 721  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 0 1 1] ), abelian= False
O_ 722  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 1 0 1 1] ), abelian= False
O_ 723  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 4, 2]] [0 0 0 1 1 1] ), abelian= False
O_ 724  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 725  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 0 0 0 0] ), abelian= False
O_ 726  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 727  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 0 0 0] ), abelian= False
O_ 728  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 729  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 1 0 0 0] ), abelian= False
O_ 730  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 0 0 0] ), abelian= False
O_ 731  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 0 0 0] ), abelian= False
O_ 732  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 0 1 0 0] ), abelian= False
O_ 733  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 734  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 1 0 0] ), abelian= True
O_ 735  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 1 1 0 0] ), abelian= False
O_ 736  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 1 1 0 0] ), abelian= False
O_ 737  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 1 0 0] ), abelian= False
O_ 738  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 1 0 0] ), abelian= False
O_ 739  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 0 0 1 0] ), abelian= False
O_ 740  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 741  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 0 1 0] ), abelian= False
O_ 742  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 1 0 1 0] ), abelian= False
O_ 743  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 0 1 0] ), abelian= False
O_ 744  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 0 1 0] ), abelian= False
O_ 745  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 0 1 1 0] ), abelian= False
O_ 746  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 1 1 0] ), abelian= False
O_ 747  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 1 1 1 0] ), abelian= False
O_ 748  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 1 1 1 0] ), abelian= False
O_ 749  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 1 1 0] ), abelian= False
O_ 750  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 0 0 0 1] ), abelian= False
O_ 751  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 0 0 1] ), abelian= False
O_ 752  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 1 0 0 1] ), abelian= False
O_ 753  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 0 0 1] ), abelian= False
O_ 754  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 1 0 1] ), abelian= False
O_ 755  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 0 1 1 0 1] ), abelian= False
O_ 756  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 1 0 1] ), abelian= False
O_ 757  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 0 0 1 1] ), abelian= False
O_ 758  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 0 1 1] ), abelian= False
O_ 759  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [1 1 1 1 1 1] ), abelian= True
O_ 760  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 761  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [1 0 0 0 0 0] ), abelian= False
O_ 762  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [1 1 0 0 0 0] ), abelian= False
O_ 763  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 1 0 0 0] ), abelian= False
O_ 764  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [1 0 1 0 0 0] ), abelian= False
O_ 765  = ( [[0, 1, 2, 3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 1 0 0 0] ), abelian= False
