Each numbered origami of degree  5  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 171  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 3, 4]] [0 0 1 0 0] ), abelian= False
O_ 172  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 3, 4]] [0 0 0 1 0] ), abelian= False
O_ 173  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 3, 4]] [0 0 1 1 0] ), abelian= False
O_ 174  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 3, 4]] [0 0 1 0 1] ), abelian= False
O_ 175  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 3, 4]] [0 0 1 1 1] ), abelian= True
O_ 176  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 4], [3]] [0 0 0 0 0] ), abelian= True
O_ 177  = ( [[0], [1, 2, 3, 4]] [[0, 1], [2, 4], [3]] [0 0 1 0 0] ), abelian= False
O_ 178  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3], [4]] [0 0 0 0 0] ), abelian= True
O_ 179  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3], [4]] [0 1 0 0 0] ), abelian= False
O_ 180  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3], [4]] [0 1 1 0 0] ), abelian= True
O_ 181  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3, 4]] [0 0 0 0 0] ), abelian= True
O_ 182  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3, 4]] [0 1 0 0 0] ), abelian= False
O_ 183  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3, 4]] [0 1 1 0 0] ), abelian= True
O_ 184  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3, 4]] [0 0 0 1 0] ), abelian= False
O_ 185  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3, 4]] [0 1 0 1 0] ), abelian= False
O_ 186  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2], [3, 4]] [0 1 1 1 0] ), abelian= False
O_ 187  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3], [4]] [0 0 0 0 0] ), abelian= True
O_ 188  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3], [4]] [0 1 0 0 0] ), abelian= False
O_ 189  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3], [4]] [0 0 1 0 0] ), abelian= False
O_ 190  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3], [4]] [0 1 1 0 0] ), abelian= False
O_ 191  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3], [4]] [0 1 0 1 0] ), abelian= False
O_ 192  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3], [4]] [0 1 1 1 0] ), abelian= True
O_ 193  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 0 0 0 0] ), abelian= True
O_ 194  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 0 0 0] ), abelian= False
O_ 195  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 0 1 0 0] ), abelian= False
O_ 196  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 1 0 0] ), abelian= False
O_ 197  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 0 1 0] ), abelian= False
O_ 198  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 0 1 1 0] ), abelian= False
O_ 199  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 1 1 0] ), abelian= False
O_ 200  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 0 0 1] ), abelian= False
O_ 201  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 1 0 1] ), abelian= False
O_ 202  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 3, 4]] [0 1 1 1 1] ), abelian= True
O_ 203  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 0 0 0] ), abelian= True
O_ 204  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 1 0 0 0] ), abelian= False
O_ 205  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 1 0 0] ), abelian= False
O_ 206  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 1 1 0 0] ), abelian= False
O_ 207  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 0 1 0] ), abelian= False
O_ 208  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 1 0 1 0] ), abelian= False
O_ 209  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 1 1 0] ), abelian= False
O_ 210  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 0 0 1] ), abelian= False
O_ 211  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 1 0 0 1] ), abelian= False
O_ 212  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 0 1 1] ), abelian= False
O_ 213  = ( [[0], [1, 2, 3, 4]] [[0, 1, 2, 4], [3]] [0 0 0 0 0] ), abelian= True
